Disease,Symptoms
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, eye"
Gastroenteritis,"dehydration, diarrhoea, vomiting"
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, eye"
Gastroenteritis,"dehydration, diarrhoea, vomiting"
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting, eye"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum, sputum, history, fever"
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum, sputum, history, fever"
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum, sputum, history, fever"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, mucoid_sputum, sputum, history"
Bronchial Asthma,"cough, family_history, fatigue, high_fever, mucoid_sputum, sputum, history, fever"
Bronchial Asthma,"breathlessness, cough, fatigue, high_fever, mucoid_sputum, sputum, fever"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, history, fever"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum, sputum, history, fever"
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum, sputum, history, fever"
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum, sputum, history, fever"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance, pain, loss"
Hypertension ,"chest_pain, dizziness, lack_of_concentration, loss_of_balance, pain, loss"
Hypertension ,"dizziness, headache, lack_of_concentration, loss_of_balance, loss"
Hypertension ,"chest_pain, headache, lack_of_concentration, loss_of_balance, pain, loss"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, pain"
Hypertension ,"chest_pain, dizziness, headache, loss_of_balance, pain, loss"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance, pain, loss"
Hypertension ,"chest_pain, dizziness, lack_of_concentration, loss_of_balance, pain, loss"
Hypertension ,"dizziness, headache, lack_of_concentration, loss_of_balance, loss"
Hypertension ,"chest_pain, headache, lack_of_concentration, loss_of_balance, pain, loss"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, indigestion, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, blurred_and_distorted_vision, depression, headache, indigestion, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, stiff_neck, visual_disturbances, stiff, neck"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, stiff, neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs, pain, weakness, loss, neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs, pain, weakness, loss, neck"
Cervical spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs, pain, weakness, loss, neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, pain, loss, neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, weakness_in_limbs, pain, weakness, loss"
Cervical spondylosis,"back_pain, loss_of_balance, neck_pain, weakness_in_limbs, pain, weakness, loss, neck"
Cervical spondylosis,"back_pain, dizziness, neck_pain, weakness_in_limbs, pain, weakness, neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs, pain, weakness, loss, neck"
Cervical spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs, pain, weakness, loss, neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, pain, loss, neck"
Paralysis (brain hemorrhage),"headache, vomiting, weakness, body, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, weakness, body, sym19"
Paralysis (brain hemorrhage),"headache, weakness, body, sym19"
Paralysis (brain hemorrhage),"vomiting, weakness, body, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, weakness, body, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, weakness, body, sym19"
Paralysis (brain hemorrhage),"headache, weakness, body, sym19"
Paralysis (brain hemorrhage),"vomiting, weakness, body, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, sym19"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, skin, itch, pain, yellow, urine, fever, weight, loss"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, skin, itch, pain, yellow, urine, fever, weight, loss"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, vomiting, weight_loss, yellowish_skin, skin, pain, yellow, urine, fever, weight, loss"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, weight_loss, yellowish_skin, skin, itch, pain, yellow, urine, fever, weight, loss"
Jaundice,"abdominal_pain, dark_urine, high_fever, itching, vomiting, weight_loss, yellowish_skin, skin, itch, pain, yellow, urine, fever, weight, loss"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, yellowish_skin, skin, itch, pain, yellow, urine, fever"
Jaundice,"abdominal_pain, dark_urine, fatigue, itching, vomiting, weight_loss, yellowish_skin, skin, itch, pain, yellow, urine, weight, loss"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, itch, pain, urine, fever, weight, loss"
Jaundice,"abdominal_pain, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, skin, itch, pain, yellow, fever, weight, loss"
Jaundice,"dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, skin, itch, yellow, urine, fever, weight, loss"
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting, pain, fever, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, pain, fever, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, pain, fever, muscle"
Malaria,"diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, pain, fever, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, pain, fever, muscle"
Malaria,"chills, diarrhoea, headache, muscle_pain, nausea, sweating, vomiting, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, vomiting, pain, fever, muscle"
Malaria,"chills, diarrhoea, high_fever, muscle_pain, nausea, sweating, vomiting, pain, fever, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, sweating, vomiting, pain, fever, muscle"
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting, pain, fever, muscle"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, headache, high_fever, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, swelled_lymph_nodes, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, headache, high_fever, itching, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, headache, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, red, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, red_spots_over_body, skin_rash, swelled_lymph_nodes, skin, spot, itch, fever, body, appetite, red, loss, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, skin, spot, itch, fever, body, appetite, red, loss"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, joint, skin, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, joint, skin, spot, pain, fever, eye, body, appetite, red, loss"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, skin_rash, vomiting, joint, skin, pain, fever, eye, appetite, loss, muscle"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, joint, skin, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, vomiting, joint, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, joint, skin, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, chills, fatigue, headache, high_fever, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, skin, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, joint, skin, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, chills, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, joint, skin, spot, pain, fever, eye, body, appetite, red, loss, muscle"
Dengue,"back_pain, chills, fatigue, headache, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, joint, skin, spot, pain, eye, body, appetite, red, loss, muscle"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, pain, fever, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, pain, fever, sym17"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, joint, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, muscle"
hepatitis A,"dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
hepatitis A,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, fever, eye, appetite, loss, muscle"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, receive, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, blood, sym13"
Hepatitis B,"dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, receive, skin, itch, pain, yellow, urine, eye, appetite, loss, blood, sym13"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin, skin, yellow, history, appetite, loss"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, skin, yellow, history, eye, appetite, loss"
Hepatitis C,"family_history, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, skin, yellow, history, eye, appetite, loss"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellow, history, eye, appetite, loss"
Hepatitis C,"family_history, fatigue, loss_of_appetite, yellowing_of_eyes, yellowish_skin, skin, yellow, history, eye, appetite, loss"
Hepatitis C,"family_history, fatigue, nausea, yellowing_of_eyes, yellowish_skin, skin, yellow, history, eye"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin, skin, yellow, history, appetite, loss"
Hepatitis C,"fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, skin, yellow, eye, appetite, loss"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, skin, yellow, history, eye, appetite, loss"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, skin, yellow, history, eye, appetite, loss"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, eye, appetite, loss"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, skin, pain, yellow, urine, eye, appetite, loss"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, eye, appetite, loss"
Hepatitis D,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, urine, eye, appetite, loss"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, joint, pain, yellow, urine, eye, appetite, loss"
Hepatitis D,"abdominal_pain, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, joint, skin, pain, yellow, eye, appetite, loss"
