Disease,Symptoms
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, body, weakness, sym19"
Paralysis (brain hemorrhage),"vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, body, weakness, sym19"
Paralysis (brain hemorrhage),"vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, sym19"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, vomiting, weight_loss, yellowish_skin, yellow, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, yellowish_skin, yellow, itch, urine, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, itch, urine, weight, loss, fever, pain"
Jaundice,"abdominal_pain, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, weight, loss, skin, fever, pain"
Jaundice,"dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever"
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, muscle_pain, nausea, sweating, vomiting, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, headache, high_fever, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, fever, swell"
Chicken pox,"headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, headache, high_fever, itching, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, headache, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, body, skin, fever, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, red_spots_over_body, skin_rash, swelled_lymph_nodes, red, spot, itch, appetite, loss, body, skin, fever, swell"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, red, spot, itch, appetite, loss, body, skin, fever"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, fever, pain, muscle, joint"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, fever, pain, joint"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, skin_rash, vomiting, appetite, loss, eye, skin, fever, pain, muscle, joint"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, fever, pain, muscle, joint"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, vomiting, red, spot, appetite, loss, eye, body, fever, pain, muscle, joint"
Dengue,"back_pain, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, fever, pain, muscle, joint"
Dengue,"back_pain, chills, fatigue, headache, high_fever, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, fever, pain, muscle"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, red, spot, appetite, loss, eye, body, skin, fever, pain, muscle, joint"
Dengue,"back_pain, chills, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, fever, pain, muscle, joint"
Dengue,"back_pain, chills, fatigue, headache, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting, red, spot, appetite, loss, eye, body, skin, pain, muscle, joint"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting, fever, pain, sym17"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, fever, pain, sym17"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellow, urine, appetite, loss, eye, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, eye, skin, fever, pain, muscle, joint"
hepatitis A,"dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
hepatitis A,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, fever, pain, muscle, joint"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellow, itch, urine, appetite, blood, receive, loss, eye, pain, sym13"
Hepatitis B,"abdominal_pain, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, blood, receive, eye, skin, pain, sym13"
Hepatitis B,"dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, sym13"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, yellowing_of_eyes, yellowish_skin, yellow, itch, urine, appetite, blood, receive, loss, eye, skin, pain, sym13"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin, yellow, appetite, loss, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellow, appetite, loss, eye, history"
Hepatitis C,"family_history, fatigue, loss_of_appetite, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, fatigue, nausea, yellowing_of_eyes, yellowish_skin, yellow, eye, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin, yellow, appetite, loss, history, skin"
Hepatitis C,"fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, history, skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, urine, appetite, loss, eye, skin, pain, joint"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellow, urine, appetite, loss, eye, pain, joint"
Hepatitis D,"abdominal_pain, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin, pain, joint"
